model/speed_PyTorch(ms),val/cls_loss,confusion_matrix,F1_curve,_timestamp,train_batch0,train/cls_loss,PR_curve,model/parameters,lr/pg1,_step,metrics/mAP50(B),train_batch1,train/box_loss,curves/Recall-Confidence(B)_table,confusion_matrix_normalized,lr/pg0,model/GFLOPs,val_batch1_pred,metrics/mAP50-95(B),train/dfl_loss,results,train_batch2,R_curve,lr/pg2,val_batch2_pred,val_batch0_labels,curves/Precision-Recall(B)_table,P_curve,val_batch2_labels,_runtime,val_batch1_labels,metrics/precision(B),curves/F1-Confidence(B)_table,val_batch0_pred,curves/Precision-Confidence(B)_table,metrics/recall(B),val/box_loss,labels,val/dfl_loss,variant,seed,run_name,epoch,train_batch6571,train_batch6570,train_batch6572,train_batch3331,train_batch3330,train_batch3332
4.506,3.18592,,,1779971197.2977645,"{'size': 805096, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354'}",3.4228,,42848348.0,0.00016438356164383562,1,0.20325,"{'size': 693430, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0'}",2.868,,,0.06728767123287671,205.617,,0.06842,3.51471,,"{'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341, 'height': 1920}",,0.00016438356164383562,,,,,,113.12119404,,0.51956,,,,0.10517,2.54234,"{'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600, 'width': 1600, '_type': 'image-file', 'format': 'jpg'}",3.2391,p2,42,p2_seed42,1,,,,,,
,5.00607,,,1779971248.113313,,2.38908,,,0.0002997538693407805,2,0.13935,,2.1921,,,0.03408970820724032,,,0.04969,2.89838,,,,0.0002997538693407805,,,,,,160.602182012,,0.3027,,,,0.18677,2.19717,,3.1835,p2,42,p2_seed42,2,,,,,,
,2.51259,,,1779971297.8895714,,2.11521,,,0.0003274795065365311,3,0.42656,,1.9204,,,0.0007841005111027533,,,0.20241,2.59352,,,,0.0003274795065365311,,,,,,211.717285253,,0.53474,,,,0.41057,1.81125,,2.70195,p2,42,p2_seed42,3,,,,,,
,1.95411,,,1779971346.444041,,1.94048,,,0.00017601829389220054,4,0.56103,,1.77162,,,0.00017601829389220054,,,0.28322,2.42425,,,,0.00017601829389220054,,,,,,258.409047925,,0.58462,,,,0.55473,1.67207,,2.48189,p2,42,p2_seed42,4,,,,,,
,1.59091,"{'format': 'png', 'path': 'media/images/confusion_matrix_5_be781fd6aba04365bd43.png', 'sha256': 'be781fd6aba04365bd43c6cef2452384122cc45ab7e54b32f7c531e15bef6b25', 'size': 96867, 'height': 2250, 'width': 3000, '_type': 'image-file'}","{'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png', 'path': 'media/images/F1_curve_5_e2e90cf07e4bdf0e554f.png', 'sha256': 'e2e90cf07e4bdf0e554f43c13062500068f154cdbbf8eb002934c2fed148060b', 'size': 178986}",1779971405.508647,,1.75115,"{'sha256': 'f08c9b0d62b9055b0c3b3905d1fe4c61b81878a806924675051e0ac1b9f0e1cd', 'size': 166204, 'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png', 'path': 'media/images/PR_curve_5_f08c9b0d62b9055b0c3b.png'}",,5.22682938922005e-05,5,0.644565442621755,,1.65061,"{'log_mode': 'IMMUTABLE', 'sha256': '85bde55fe567c567bad0c13f6c23f3aff4ee2b364a0a6679a38321fa1849d17f', 'artifact_path': 'wandb-client-artifact://ubzv6kw3fvrxbj6vaabirgqst00dyknqh8inkejj52cwkcx0w7cjao4xro1zzafvv4srk6go7bth3k0q372wn10rgls7lqa8brw6lufupp6kms5lb79fnd0jtdii8kw4/curves/Recall-Confidence(B)_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://w7yvngnf9psglgpehx5djgta33nqt5cezs7bdmibyk18czyv503c7suquktfm2k6r7eitdaq9qqdt6hwun9b5yemwt2ecp92eak70528scl41ekwfc0lbp5e2n2l32er:latest/curves/Recall-Confidence(B)_table.table.json', 'ncols': 3, 'nrows': 400, 'path': 'media/table/curves/Recall-Confidence(B)_table_5_85bde55fe567c567bad0.table.json', '_type': 'table-file', 'size': 7905}","{'height': 2250, 'width': 3000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/confusion_matrix_normalized_5_f40fc736a7cafca42974.png', 'sha256': 'f40fc736a7cafca42974c7181824a2ad0cbff4762c9e4d6526caee6f8a473a60', 'size': 107854}",5.22682938922005e-05,,"{'size': 885197, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch1_pred_5_fc12f5be95624502f168.jpg', 'sha256': 'fc12f5be95624502f168fad4ac81b230defe59ae648b0a6c6f07432d568b39d4'}",0.3585736070835923,2.30684,"{'path': 'media/images/results_5_a1ce39c1b8b7f3484b07.png', 'sha256': 'a1ce39c1b8b7f3484b07c71d933cdad5d39bdbd152f9a1628d4c77cca6fcb8b0', 'size': 257712, 'height': 1200, 'width': 2400, '_type': 'image-file', 'format': 'png'}",,"{'sha256': 'ce61a71099adcd5775b8c25b3c7c239a22348600093ed993a01dc3dbc6c9728f', 'size': 177695, 'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png', 'path': 'media/images/R_curve_5_ce61a71099adcd5775b8.png'}",5.22682938922005e-05,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch2_pred_5_0b17a6c877de25e96b20.jpg', 'sha256': '0b17a6c877de25e96b20f575cbc51ebfc9e3372f4f7c1f60ed4698eef0e56f2f', 'size': 933344, 'height': 1920, 'width': 1920}","{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch0_labels_5_191276c6f2c0357df44e.jpg', 'sha256': '191276c6f2c0357df44e7eb8ef7d165ea3046b08d018116d8f819c80923a7bf7', 'size': 848160, 'height': 1920, 'width': 1920}","{'ncols': 3, 'size': 7907, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/curves/Precision-Recall(B)_table_5_7847f08a054c177df5ed.table.json', 'sha256': '7847f08a054c177df5ed03a19e590ef1e37a433a8029bb20707fd1ae152ff8e0', 'artifact_path': 'wandb-client-artifact://xugjgvk3mp199alj1u0halrp77qu7bu98wh6xnhz9bdv5jj6f6yg5g9s50zlh3lx4uszws07kjqovvfh7iqbw89hokbarrlye1wbwui52h6582zfjrjmbzavkhwgfktw/curves/Precision-Recall(B)_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://hi5zaxu0f04djgy70dwszv3iqihkrov9ai2ftg42fyn8x48qu8b31l3ndmwesslxm1au941fiyykzsm6y1sy2cyxnr3blcae7rireclgfqwgs20cj9lju8ftgrpxbst4:latest/curves/Precision-Recall(B)_table.table.json', 'nrows': 400}","{'sha256': 'b5ab0396ef855d5522c1399f0403e13f67cdcef0f138fce3e201dc52636f28f0', 'size': 166982, 'height': 1500, 'width': 2250, '_type': 'image-file', 'format': 'png', 'path': 'media/images/P_curve_5_b5ab0396ef855d5522c1.png'}","{'path': 'media/images/val_batch2_labels_5_ec183fed6f1bd8bce281.jpg', 'sha256': 'ec183fed6f1bd8bce2811c709d1755b5f4673184f1ee545c7fe04d707f5cf85d', 'size': 941077, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg'}",276.679144931,"{'size': 881614, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch1_labels_5_a2a2ab952c9f8ac03332.jpg', 'sha256': 'a2a2ab952c9f8ac03332345e661df279322cbe5c7faa2e822a78e6875f6b181f'}",0.682175937025768,"{'_type': 'table-file', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://pdkg5qqeqpdd4wdig6oo2u6w0hrsfanwjtc3bve0s20ogndfn54ucx5hrfowgsppk28bfgixw21isv1a7uhf4xkris86bqnhovqy5frian0exaje2us8jf5m9j5wfrwz/curves/F1-Confidence(B)_table.table.json', 'sha256': 'ea1266d83e07702dc5ce0132d04d42db505e1b643cdb8fe43a1f468690f71182', 'size': 7889, 'log_mode': 'IMMUTABLE', 'nrows': 400, 'path': 'media/table/curves/F1-Confidence(B)_table_5_ea1266d83e07702dc5ce.table.json', '_latest_artifact_path': 'wandb-client-artifact://yui9yltppk65veswetfc8fkizat0dl0r3fyhu52r570vlrqn4dzuusfud53vs0zfwwhgwab08wxwt2sdvgr8773ie1pr58gibs7gmly5phlqjf5zx87sfjkymwet75e7:latest/curves/F1-Confidence(B)_table.table.json'}","{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch0_pred_5_af41659bd8156b70e90a.jpg', 'sha256': 'af41659bd8156b70e90a4952851bf191d223c3b503588b0094539bb68dbe57db', 'size': 837640, 'height': 1920, 'width': 1920}","{'size': 7813, 'path': 'media/table/curves/Precision-Confidence(B)_table_5_f71cb26582db4a9571b7.table.json', 'artifact_path': 'wandb-client-artifact://mfj14pi7vualbta7kmm4wgnh0ylt0j2ymtmzo0z6nd5dy6fwqpm83s9fxsmq4sox7h9omvogbqhsh72qjm6ru9t5n6a8e1fiisifgduzrlgn44aa87gv7peukcwbwq7z/curves/Precision-Confidence(B)_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://achvy97r220w0nd0cdailnp7uxv72kfk5wxle6haktc0ydlwvr971cfceo0dynmpzrxzwsjbhwlde2v6k1r1hm3mip08kneq78zxjg4t02f03y6tvx22q685x2hwx1o0:latest/curves/Precision-Confidence(B)_table.table.json', 'log_mode': 'IMMUTABLE', 'sha256': 'f71cb26582db4a9571b742e0cd7480205e7f5c46e0fa097fec2fba781b5f4075', '_type': 'table-file', 'ncols': 3, 'nrows': 400}",0.5941459789433119,1.58883,,2.37693,p2,42,p2_seed42,5,,,,,,
3.179,17.57418,,,1779971492.2042658,"{'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg'}",2.82526,,43632153.0,0.00016438356164383562,1,0.10969,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430}",16.66908,,,0.06728767123287671,165.412,,0.04165,17.86227,,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341}",,0.00016438356164383562,,,,,,78.359388465,,0.0812,,,,0.41667,19.44282,"{'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600, 'width': 1600, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg'}",22.38175,sizeaware,42,sizeaware_seed42,1,,,,,,
,7.32444,,,1779971526.3744967,,2.27559,,,0.0002997538693407805,2,0.21795,,16.35768,,,0.03408970820724032,,,0.10312,17.57534,,,,0.0002997538693407805,,,,,,111.892235548,,0.30271,,,,0.31281,16.54865,,19.65832,sizeaware,42,sizeaware_seed42,2,,,,,,
,4.1394,,,1779971559.5132039,,2.12718,,,0.0003274795065365311,3,0.30079,,15.89538,,,0.0007841005111027533,,,0.14528,17.17378,,,,0.0003274795065365311,,,,,,144.989351939,,0.3937,,,,0.32819,16.64612,,18.83946,sizeaware,42,sizeaware_seed42,3,,,,,,
,2.07449,,,1779971592.3888798,,1.94835,,,0.00017601829389220054,4,0.44072,,15.0624,,,0.00017601829389220054,,,0.23427,16.55667,,,,0.00017601829389220054,,,,,,177.824569509,,0.47493,,,,0.47292,14.95562,,16.99261,sizeaware,42,sizeaware_seed42,4,,,,,,
,1.60665,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/confusion_matrix_5_20292eb6a0f46b6462f1.png', 'sha256': '20292eb6a0f46b6462f11731c34a73aa4dfd7d97ed50ea1c39f62e2c430f9523', 'size': 109212, 'height': 2250, 'width': 3000}","{'_type': 'image-file', 'format': 'png', 'path': 'media/images/F1_curve_5_7159643399ed93b6a13f.png', 'sha256': '7159643399ed93b6a13f37162ed088de1f69d34d941822847fff39d6eed43e73', 'size': 176723, 'height': 1500, 'width': 2250}",1779971640.5190024,,1.78434,"{'format': 'png', 'path': 'media/images/PR_curve_5_15915071bc316a23ec81.png', 'sha256': '15915071bc316a23ec8152f7ebc2d371ba64d08fd6a469c4233bff8b799e1de3', 'size': 174084, 'height': 1500, 'width': 2250, '_type': 'image-file'}",,5.22682938922005e-05,5,0.5754269848568169,,14.17971,"{'ncols': 3, 'artifact_path': 'wandb-client-artifact://3wss3hxsetfq4gbjnzqko6rbsm359xq95395ejscy4wl8onib3gt0j3hci7qmaz6amn7q8st3bk6y4o0vz6adi5x07n15jqmjxg54985cqrr71ypxhkla6kkq0u8y59i/curves/Recall-Confidence(B)_table.table.json', '_type': 'table-file', 'path': 'media/table/curves/Recall-Confidence(B)_table_5_be79ded8dc539fbc41c9.table.json', 'sha256': 'be79ded8dc539fbc41c9c0b150be665bc74162d1f941e85c1798e7ef1e647c4b', '_latest_artifact_path': 'wandb-client-artifact://l9ubv5kih4fzd9tmamwsnheyro6ll9uvq949fo0j6r08yy07mkcctm6vwkszlm7t4a3sl4b5q0d53a6htn0m43b30p7aj4unuokao41ss9cij5rlf67i0c98e9o85uty:latest/curves/Recall-Confidence(B)_table.table.json', 'nrows': 400, 'log_mode': 'IMMUTABLE', 'size': 7896}","{'format': 'png', 'path': 'media/images/confusion_matrix_normalized_5_9cc086436a686750e3e4.png', 'sha256': '9cc086436a686750e3e439ac725dc1b9d24a2d8dcad70e800c30b9f2aaa40bfc', 'size': 110250, 'height': 2250, 'width': 3000, '_type': 'image-file'}",5.22682938922005e-05,,"{'size': 877462, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch1_pred_5_10f047ec4f2ec658146a.jpg', 'sha256': '10f047ec4f2ec658146a27eec26f9fa3a54db2d43cdb7051c4b5076a2e8d0795'}",0.3252900569187952,15.8364,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/results_5_3dfd7c252d7af3c8d9fa.png', 'sha256': '3dfd7c252d7af3c8d9faddb61a2da249e7dcd011486f7053d36df69a49288402', 'size': 253159, 'height': 1200, 'width': 2400}",,"{'format': 'png', 'path': 'media/images/R_curve_5_4264e6aa8711b48c521c.png', 'sha256': '4264e6aa8711b48c521c2695aba2614044ae9c90c0f03cda0dcd2d5f0da09a50', 'size': 177204, 'height': 1500, 'width': 2250, '_type': 'image-file'}",5.22682938922005e-05,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch2_pred_5_916bc615d59c0083104d.jpg', 'sha256': '916bc615d59c0083104d332ceb6c3c9b1b6b23c2b189925b9ff2e6a065f36029', 'size': 935951}","{'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch0_labels_5_191276c6f2c0357df44e.jpg', 'sha256': '191276c6f2c0357df44e7eb8ef7d165ea3046b08d018116d8f819c80923a7bf7', 'size': 848160, 'height': 1920}","{'_latest_artifact_path': 'wandb-client-artifact://4pd6478msfeor2kd1l5a013j3lpbexco778nr7ox9punzruo46cxztvvwlxi3eumafn30dqyw8g2uv9j84tdji5yc3cgp29qg6d1nhwhr9q223r47eer6vddd5w69xqq:latest/curves/Precision-Recall(B)_table.table.json', 'nrows': 400, 'path': 'media/table/curves/Precision-Recall(B)_table_5_26a40e23ac3f2c52921c.table.json', 'sha256': '26a40e23ac3f2c52921c23ac03c1d26e84391b121c1e159ca631b4e0c5db3858', 'artifact_path': 'wandb-client-artifact://d9r9yc96bp0zanika2k2djflu6cxcpbjhd6i201t57uv3yngm8ykewjpelk0la95mikf09o7rjlniufkz406t1iv73s7la6k68lpxf3m53rs7da6yjbp4zyuith5f9pu/curves/Precision-Recall(B)_table.table.json', 'ncols': 3, 'size': 7910, 'log_mode': 'IMMUTABLE', '_type': 'table-file'}","{'width': 2250, '_type': 'image-file', 'format': 'png', 'path': 'media/images/P_curve_5_4506b64c6dd1a9a08354.png', 'sha256': '4506b64c6dd1a9a0835465469693a68e5a070c3573451a130b55ef1cb0d10f38', 'size': 170582, 'height': 1500}","{'format': 'jpg', 'path': 'media/images/val_batch2_labels_5_ec183fed6f1bd8bce281.jpg', 'sha256': 'ec183fed6f1bd8bce2811c709d1755b5f4673184f1ee545c7fe04d707f5cf85d', 'size': 941077, 'height': 1920, 'width': 1920, '_type': 'image-file'}",197.75323081,"{'format': 'jpg', 'path': 'media/images/val_batch1_labels_5_a2a2ab952c9f8ac03332.jpg', 'sha256': 'a2a2ab952c9f8ac03332345e661df279322cbe5c7faa2e822a78e6875f6b181f', 'size': 881614, 'height': 1920, 'width': 1920, '_type': 'image-file'}",0.5962036137974597,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://51geypzcupzb7mtnem69pihymy3y0npjxbq1haut4bdqqizwl1w4c66xprr80g1ykzfyreqzvc7mu9xp010i84af5e0ja0vy41jv9xfxnvbzq597a3web8miw8m3gjby:latest/curves/F1-Confidence(B)_table.table.json', '_type': 'table-file', 'ncols': 3, 'size': 7906, 'artifact_path': 'wandb-client-artifact://wtat9v0baxyck4kjh92qe65ns50vt2oo41y5z5qhnssxvlb6vjyre2xm439addr9kce4xbxgiyn3belzq7yskq94ylsfo5ovysihmfvhzufwqzf83rtyqt54dw387l6p/curves/F1-Confidence(B)_table.table.json', 'sha256': 'c49442f44485f088040edc4c98b3194f861202c7303afb183261d76837a4feac', 'nrows': 400, 'path': 'media/table/curves/F1-Confidence(B)_table_5_c49442f44485f088040e.table.json'}","{'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/val_batch0_pred_5_156377eadf90dbec9716.jpg', 'sha256': '156377eadf90dbec9716ee7153b348c7975af9329f770aaa8a0476e60718c488', 'size': 835304, 'height': 1920}","{'ncols': 3, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://ngzttqrdml2zgyv07gl2k9rtrepcoqfr9hzqzwymd0b6y1hp74hbnuyql4nl9j5sxpj8m2mpna2jt67pbxgl6an8mgh9mkw3nrskcmahio8rg35hla1mbsszhu179219:latest/curves/Precision-Confidence(B)_table.table.json', 'nrows': 400, 'sha256': '2967ba32bcc792d2f0a55ba7864e29bdce163e36c18ec08427b91cdf50996fca', 'path': 'media/table/curves/Precision-Confidence(B)_table_5_2967ba32bcc792d2f0a5.table.json', 'size': 7856, 'artifact_path': 'wandb-client-artifact://0ticeub66okil7dh4sqn67gbtx65yvzz5j2ozgpazigwaj7d9bcipsudmis7m847hkbxjdyd8dv0795z4tmmnm6y1b4ujfupk1ui9jrmye3xikv4yiumdofuyy3licgy/curves/Precision-Confidence(B)_table.table.json', '_type': 'table-file'}",0.5565352139872779,13.77924,,15.63881,sizeaware,42,sizeaware_seed42,5,,,,,,
5.101,4.65321,,,1779971743.4996252,"{'size': 805096, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354'}",4.2295,,42965672.0,0.00016438356164383562,1,0.00502,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430, 'height': 1920, 'width': 1920}",29.55293,,,0.06728767123287671,205.831,,0.00126,35.09013,,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341}",,0.00016438356164383562,,,,,,113.010798324,,0.00272,,,,0.24849,30.63927,"{'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600, 'width': 1600, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg'}",33.80594,combined,42,combined_seed42,1,,,,,,
,4.53644,,,1779971796.617581,,3.26944,,,0.0002997538693407805,2,0.05082,,23.90662,,,0.03408970820724032,,,0.01989,29.17881,,,,0.0002997538693407805,,,,,,165.340682437,,0.31298,,,,0.07456,22.88201,,30.35275,combined,42,combined_seed42,2,,,,,,
,3.27761,,,1779971847.3435066,,2.87735,,,0.0003274795065365311,3,0.21003,,20.62252,,,0.0007841005111027533,,,0.09579,26.02715,,,,0.0003274795065365311,,,,,,216.018911135,,0.22969,,,,0.29585,20.38597,,27.38574,combined,42,combined_seed42,3,,,,,,
,2.66052,,,1779971897.9266806,,2.61469,,,0.00017601829389220054,4,0.29293,,18.74577,,,0.00017601829389220054,,,0.13365,24.24264,,,,0.00017601829389220054,,,,,,266.513059887,,0.30631,,,,0.3636,18.29583,,25.7347,combined,42,combined_seed42,4,,,,,,
