metrics/precision(B),model/speed_PyTorch(ms),_runtime,train_batch6571,train_batch6570,train/cls_loss,PR_curve,metrics/mAP50-95(B),val_batch0_pred,results,lr/pg0,confusion_matrix_normalized,train_batch0,metrics/recall(B),labels,lr/pg1,_timestamp,lr/pg2,val_batch1_pred,_step,train/dfl_loss,val/cls_loss,val_batch2_pred,val_batch1_labels,train_batch6572,curves/F1-Confidence(B)_table,model/parameters,curves/Recall-Confidence(B)_table,model/GFLOPs,val/dfl_loss,val_batch2_labels,curves/Precision-Recall(B)_table,train_batch2,curves/Precision-Confidence(B)_table,train/box_loss,val/box_loss,R_curve,confusion_matrix,metrics/mAP50(B),train_batch1,P_curve,F1_curve,val_batch0_labels,variant,seed,run_name,epoch
0.24292,3.177,79.677881943,,,2.48551,,0.08279,,,0.06728767123287671,,"{'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096, 'height': 1920, 'width': 1920, '_type': 'image-file'}",0.28279,"{'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600, 'width': 1600, '_type': 'image-file', 'format': 'jpg'}",0.00016438356164383562,1779978487.4577258,0.00016438356164383562,,1,1.8195,12.24199,,,,,43632153.0,,165.412,2.44392,,,"{'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg'}",,1.68003,1.99696,,,0.18798,"{'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430, 'height': 1920, 'width': 1920, '_type': 'image-file'}",,,,baseline,42,baseline_seed42,1
0.27544,,112.854833115,,,2.03212,,0.11114,,,0.034120923706324774,,,0.3388,,0.0003309693684252292,1779978521.2174807,0.0003309693684252292,,2,1.81752,3.92195,,,,,,,,2.31706,,,,,1.68014,1.88039,,,0.24306,,,,,baseline,42,baseline_seed42,2
0.38351,,145.556631123,,,1.92321,,0.13621,,,0.0009538517448965528,,,0.38015,,0.0004972307403303534,1779978553.9883811,0.0004972307403303534,,3,1.79092,4.11436,,,,,,,,2.40406,,,,,1.643,1.98828,,,0.30079,,,,,baseline,42,baseline_seed42,3
0.41643,,180.056318773,,,1.91617,,0.15707,,,0.0004989015862392623,,,0.37734,,0.0004989015862392623,1779978588.4797666,0.0004989015862392623,,4,1.79069,5.72148,,,,,,,,2.33737,,,,,1.65796,1.97116,,,0.34094,,,,,baseline,42,baseline_seed42,4
0.45495,,216.714935331,,,1.82475,,0.20254,,,0.0004980483885753333,,,0.44095,,0.0004980483885753333,1779978625.1304235,0.0004980483885753333,,5,1.77334,2.31367,,,,,,,,2.1497,,,,,1.61985,1.81477,,,0.39791,,,,,baseline,42,baseline_seed42,5
0.57902,,249.959696695,,,1.75092,,0.26218,,,0.0004969528642972965,,,0.48809,,0.0004969528642972965,1779978657.8722239,0.0004969528642972965,,6,1.74785,2.32367,,,,,,,,2.02575,,,,,1.59332,1.73461,,,0.50023,,,,,baseline,42,baseline_seed42,6
0.58787,,282.616175648,,,1.70721,,0.27458,,,0.0004956160945553505,,,0.51852,,0.0004956160945553505,1779978691.0001426,0.0004956160945553505,,7,1.71337,1.90699,,,,,,,,2.00445,,,,,1.56212,1.70947,,,0.53331,,,,,baseline,42,baseline_seed42,7
0.5959,,315.206994946,,,1.6419,,0.28912,,,0.00049403939857984,,,0.53192,,0.00049403939857984,1779978723.6634183,0.00049403939857984,,8,1.69615,1.68322,,,,,,,,1.96133,,,,,1.53541,1.67775,,,0.54691,,,,,baseline,42,baseline_seed42,8
0.61901,,347.836751293,,,1.61975,,0.30554,,,0.0004922243323793363,,,0.55781,,0.0004922243323793363,1779978756.2726626,0.0004922243323793363,,9,1.68412,1.87136,,,,,,,,1.91609,,,,,1.52163,1.6444,,,0.5705,,,,,baseline,42,baseline_seed42,9
0.62279,,381.908060568,,,1.55458,,0.29892,,,0.0004901726872050434,,,0.55328,,0.0004901726872050434,1779978790.2980566,0.0004901726872050434,,10,1.68976,1.62593,,,,,,,,1.91,,,,,1.50367,1.64755,,,0.57007,,,,,baseline,42,baseline_seed42,10
0.63614,,414.735619059,,,1.52393,,0.33501,,,0.0004878864877830505,,,0.55665,,0.0004878864877830505,1779978823.0632176,0.0004878864877830505,,11,1.65405,1.61075,,,,,,,,1.83798,,,,,1.49,1.57928,,,0.59701,,,,,baseline,42,baseline_seed42,11
0.63727,,447.527116107,,,1.5015,,0.33411,,,0.0004853679903161708,,,0.58986,,0.0004853679903161708,1779978855.7753882,0.0004853679903161708,,12,1.64681,1.52,,,,,,,,1.8482,,,,,1.47642,1.59677,,,0.61471,,,,,baseline,42,baseline_seed42,12
